dis_price,discount_percent,maincategory_name,ori_price,ranking,subcategory_name,title
"50,000원",0,ALL,"50,000원",1,ALL,[한국투자증권](한국투자증권) 온라인 금융상품권
"14,900원",50,ALL,"14,900원",2,ALL,널담은뚱카롱 오직 널 위한 널담은마카롱8구 감동세트
"9,400원",52,ALL,"9,400원",3,ALL,[참도깨비]어묵 어묵탕 어묵꼬치 10개x2봉+장국4봉/ 2세트 떡볶이
"13,900원",50,ALL,"13,900원",4,ALL,유명맛집 향유 포천이동갈비 돼지갈비 1kg 맛집 그대로
"17,900원",50,ALL,"17,900원",5,ALL,1+1 과즙 가득 경북 부사 가정용 사과 5kg/24-30과
"35,900원",7,ALL,"35,900원",6,ALL,체스터바이체스터베리 본딩 팬츠 3종
"10,400원",50,ALL,"10,400원",7,ALL,[참도깨비]춘천 식 숯불 닭갈비 750g x 2봉 /2세트시 떡볶이
"9,900원",50,ALL,"9,900원",8,ALL,[바다원]바다원 원물 박스 햇 중멸(고바/ 조림용)1.5kg
"9,500원",50,ALL,"9,500원",9,ALL,도너츠 6종세트(총15개) 당일생산 수제 팝핀도너츠특가
"16,900원",50,ALL,"16,900원",10,ALL,[쵱선생]통영 베네치아수산 통영 생굴 1kg / 15%쿠폰가 13860원
"13,900원",50,ALL,"13,900원",11,ALL,아보카도 대과 10개(개당 220g 내외/멕시코산)
"10,900원",50,ALL,"10,900원",12,ALL,[크라운]봉지 과자 골라담기 + 사은품
"19,900원",50,ALL,"19,900원",13,ALL,[연세우유]연세우유 멸균우유 비타민플러스 48팩
"9,500원",50,ALL,"9,500원",14,ALL,호박고구마 중3kg/2개주문시 7kg발송
"15,900원",50,ALL,"15,900원",15,ALL,호두왕찹쌀떡(80gX20입)/선물/떡 영의정
"10,900원",16,ALL,"10,900원",16,ALL,생새우살 특대사이즈 1+1 (약 40마리) 31/50
"33,810원",8,ALL,"33,810원",17,ALL,[깨끗한나라]깨끗한나라 벚꽃 프리미엄 화장지 (총90롤) 27mx30롤
"9,900원",50,ALL,"9,900원",18,ALL,참조은 제주 구좌 흙당근 5kg 중or특왕/앵콜상품선정
"8,700원",50,ALL,"8,700원",19,ALL,[스프라이트]킨사이다  185mlx30캔
"3,900원",60,ALL,"3,900원",20,ALL,제주안심밥상 돼지특수부위 뒷고기(구이용) 4팩 1kg
"97,000원",3,ALL,"97,000원",21,ALL,[구글플레이](카드가능) 기프트코드 10만원/구글 10000크레딧 증정
"8,900원",61,ALL,"8,900원",22,ALL,[나크제이]나크제이디퓨저대용량 500ml/크리스마스/증정사은품
"16,900원",43,ALL,"16,900원",23,ALL,[하림]알찬세트(용가리+너겟+팝콘 2봉+윙+봉+핫도그 3봉)
"13,500원",70,ALL,"13,500원",24,ALL,[페이퍼플레인]겨울 여성 부츠 방한화 운동화 신발 스니커즈 슬립온
"18,000원",64,ALL,"18,000원",25,ALL,[케이스위스]케이스위스/르까프 FW의류 특가
"36,080원",9,ALL,"36,080원",26,ALL,보노스프 보노스프 3종 20박스(총 60봉)
"48,300원",7,ALL,"48,300원",27,ALL,시매쓰  영재사고력 수학 1031 단계별 선택구매(12월21일 출고예정)
"30,900원",30,ALL,"30,900원",28,ALL,[아침농산]국산 농부의아침 쌀10kg  2020년산 햅쌀
"18,900원",23,ALL,"18,900원",29,ALL,[청정원]소시지 리치부어스트 1.5kg +핫도그 증정
"9,600원",50,ALL,"9,600원",30,ALL,[비락식혜]비락식혜 175mlx30캔 (빅스)   쿠폰가 7820원
"7,900원",50,ALL,"7,900원",31,ALL,제주 감귤 타이벡 10kg내외 (2S-L)
"15,500원",69,ALL,"15,500원",32,ALL,[원더브라]원더브라 푸쉬업 브라팬티 1종 라인업
"52,270원",14,ALL,"52,270원",33,ALL,유귀열 유귀열의 The귀한 도가니탕 600g x10팩 +1팩
"22,900원",0,ALL,"22,900원",34,ALL,1+1 과즙 가득 경북 부사 가정용 사과 5kg/16-20과
"19,900원",39,ALL,"19,900원",35,ALL,[오뚜기밥]맛있는 오뚜기밥 210g 24개
"33,000원",0,ALL,"33,000원",36,ALL,2021 김남길 시즌그리팅 (2021 KIMNAMGIL SEASONS GREETINGS)
"14,600원",0,ALL,"14,600원",37,ALL,[스파클]스파클생수 2L 30병
"21,900원",12,ALL,"21,900원",38,ALL,[동원참치]라이트 스탠다드 참치 100g 15캔 원터치
"8,900원",69,ALL,"8,900원",39,ALL,겨울신상 홈웨어 잠옷특가 사은품
"22,900원",14,ALL,"22,900원",40,ALL,HAPPYDAY 핫팩 군용60매/포켓100매/파스형90매
"73,220원",8,ALL,"73,220원",41,ALL,크린조이 대형 100매 블랙/그레이/화이트 KF94 황사
"15,900원",0,ALL,"15,900원",42,ALL,널담은뚱카롱 오직 널 위한 널담은마카롱8구 사랑세트
"59,900원",0,ALL,"59,900원",43,ALL,(쿠폰가 49920)김하진 우족도가니탕 600gX10팩+수육 200gX10팩
"11,900원",69,ALL,"11,900원",44,ALL,[버블트리]쥬니어~170호/여아/유아/의류/아동복/원피스/레깅스
"19,900원",0,ALL,"19,900원",45,ALL,1+1 과즙 가득 경북 부사 가정용 사과 5kg/21-23과
